ID_edificio;ID_cliente;Nombre_edif;Direccion;Tel_edif;Encargado
175;9;Showy Fly Honeysuckle;682 Lakeland Court;977-659-3032;Shirlee Tieraney
176;34;Adonis Blazingstar;94 Utah Junction;625-303-6873;Dorothea Alu
177;22;Ulmo;74 Thompson Pass;275-926-4067;Nelli Grundon
178;6;California Entosthodon Moss;20 Johnson Way;617-932-0566;Vivia De Caville
179;10;Fremont's Dalea;48 Cordelia Road;351-589-8236;Muriel Brabben
180;31;Trask's Milkvetch;4 Eagan Circle;954-310-5568;Cordula Licciardello
181;24;Kunth's Maiden Fern;1 Wayridge Street;363-994-6400;Hurlee Leed
182;4;Echinocystis;1145 Merry Center;194-686-0077;Tabbitha Beuscher
183;14;Chihuahuan Fishhook Cactus;50479 Rutledge Junction;774-323-9273;Fredric Burtwistle
184;17;Northern Freckled Milkvetch;4450 Prairieview Circle;588-197-6761;Konstantine Crass
185;10;Trepocarpus;2960 Atwood Drive;642-114-6381;Jon Luna
186;9;Ouricury Palm;146 Browning Trail;189-388-6681;Ricki Edison
187;12;Gray Honeymyrtle;600 Lakewood Terrace;687-650-0860;Ianthe Werlock
188;33;Basket Of Gold;1 Jenifer Street;848-822-3532;Aubree Goreisr
189;14;Tennessee Gladecress;37632 Loftsgordon Alley;680-719-8238;Jere Ghelarducci
190;18;Fewflowered Spikerush;81212 Monterey Alley;408-458-6918;Eadmund Beldum
191;7;Klamath River Rockcress;2930 Goodland Park;163-860-3909;Jordanna Tidbold
192;18;Castela;535 Melvin Way;660-975-0167;Wolfie Walsom
193;29;Featherbristle Beaksedge;61 Paget Hill;991-404-2269;Maynard Brophy
194;25;Pussypaws;72 Springview Terrace;731-908-2933;Erinna Ciani
195;32;Slimlobe Beggarticks;9979 Esch Drive;179-544-1225;Vitia Bison
196;26;Threadleaf Sundew;6475 Fulton Plaza;600-767-3934;Elga Fleischmann
197;38;Woodland Coffee;64673 Lindbergh Crossing;925-789-0822;Romona Boundley
198;5;Thalassia;39884 Sheridan Circle;934-767-4574;Nadiya Hayer
199;4;Monodora;81 Grayhawk Lane;886-507-4204;Hollis Noquet
200;29;Bryum Moss;485 Darwin Road;582-999-3664;Ingra Poltun
