ID_reclamo;ID_edificio;ID_elevador;Legajo_tec;Falla;Fecha
76;101;211;1;Mauris sit amet eros.;2024-01-27
77;111;418;2;Fusce consequat. Nulla nisl. Nunc nisl.;2023-12-10
78;174;120;5;Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.;2024-01-10
79;183;20;1;Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.;2023-12-05
80;15;257;2;Nunc purus.;2024-05-14
81;194;181;2;Mauris lacinia sapien quis libero.;2023-10-25
82;123;271;2;Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.;2024-06-10
83;115;436;5;Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.;2023-10-29
84;68;352;2;Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.;2024-03-13
85;24;17;5;Morbi vel lectus in quam fringilla rhoncus.;2023-08-20
86;131;469;1;Proin risus. Praesent lectus.;2024-04-18
87;101;359;3;Duis at velit eu est congue elementum.;2023-10-02
88;12;143;1;Etiam faucibus cursus urna.;2024-06-11
89;195;185;5;Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.;2023-12-03
90;28;352;5;Nam dui.;2024-03-29
91;10;15;1;Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.;2024-01-18
92;82;76;4;Proin at turpis a pede posuere nonummy.;2024-02-13
93;100;11;1;Proin risus.;2024-01-06
94;139;364;2;Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.;2024-06-26
95;8;147;2;Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.;2023-08-20
96;199;416;5;Quisque ut erat.;2024-01-25
97;131;100;1;Quisque porta volutpat erat.;2024-05-19
98;54;495;3;Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.;2024-07-13
99;152;98;3;Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.;2024-01-20
100;16;196;2;"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.";2023-08-31
101;9;173;2;Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.;2023-08-15
102;13;489;1;Quisque ut erat.;2023-11-01
103;61;258;3;"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.";2024-07-31
104;70;204;1;Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.;2024-03-02
105;50;367;1;In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.;2023-12-13
106;62;488;1;Vestibulum ac est lacinia nisi venenatis tristique.;2024-05-28
107;6;272;1;Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.;2024-03-19
108;156;472;3;Aenean auctor gravida sem.;2024-06-09
109;65;451;1;Integer a nibh. In quis justo.;2024-02-29
110;146;462;2;Vivamus vel nulla eget eros elementum pellentesque.;2024-01-06
111;77;467;3;Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.;2024-06-14
112;3;476;2;Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.;2023-10-26
113;40;84;1;Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.;2023-10-14
114;26;274;3;Pellentesque viverra pede ac diam.;2023-08-04
115;61;329;1;In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.;2024-06-11
116;118;477;5;Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.;2023-11-19
117;51;143;4;Pellentesque at nulla.;2024-06-13
118;149;328;4;Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.;2024-06-01
119;96;479;3;Fusce consequat. Nulla nisl.;2024-01-10
120;135;19;4;Vestibulum sed magna at nunc commodo placerat.;2024-05-19
121;189;174;5;Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.;2024-03-30
122;107;228;4;Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.;2024-03-11
123;160;218;1;Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.;2024-06-29
124;133;340;4;Ut at dolor quis odio consequat varius. Integer ac leo. Pellentesque ultrices mattis odio.;2023-12-26
125;85;156;5;Morbi non quam nec dui luctus rutrum.;2023-08-11
126;160;128;2;Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.;2024-04-28
127;167;4;3;Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.;2024-02-26
128;123;258;1;Nunc purus. Phasellus in felis.;2023-10-31
129;167;455;5;Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.;2024-03-14
130;26;266;2;Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.;2024-01-20
131;53;95;5;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.;2023-09-14
132;126;322;4;In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.;2024-05-20
133;50;292;3;Suspendisse ornare consequat lectus.;2024-05-05
134;187;231;1;Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.;2024-05-20
135;135;447;3;Quisque porta volutpat erat.;2024-06-09
136;52;344;4;Suspendisse accumsan tortor quis turpis.;2023-09-14
137;109;407;5;Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.;2024-03-15
138;36;34;5;Vivamus vestibulum sagittis sapien.;2024-01-23
139;22;348;2;Praesent blandit. Nam nulla.;2024-01-19
140;112;442;4;Aliquam non mauris. Morbi non lectus.;2023-10-02
141;187;101;1;Etiam vel augue. Vestibulum rutrum rutrum neque.;2023-10-25
142;179;167;3;Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.;2023-08-23
143;76;145;2;Nulla tempus.;2024-07-07
144;6;200;5;Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.;2023-10-20
145;172;159;5;Ut at dolor quis odio consequat varius. Integer ac leo.;2024-04-15
146;72;113;5;Maecenas ut massa quis augue luctus tincidunt.;2024-03-15
147;43;297;4;Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.;2024-04-06
148;83;469;2;Morbi non quam nec dui luctus rutrum. Nulla tellus. In sagittis dui vel nisl.;2024-07-20
149;160;462;1;Curabitur gravida nisi at nibh.;2024-07-09
150;12;227;1;Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.;2023-12-21
151;177;421;1;Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.;2024-02-10
152;5;349;5;Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.;2023-11-14
153;183;335;5;Nam tristique tortor eu pede.;2023-09-17
154;196;474;3;Vivamus vestibulum sagittis sapien.;2024-01-16
155;198;497;3;Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.;2024-06-11
156;92;496;4;Integer ac leo. Pellentesque ultrices mattis odio.;2024-02-08
157;73;366;2;Vivamus tortor. Duis mattis egestas metus. Aenean fermentum.;2024-05-21
158;190;298;4;"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.";2024-02-26
159;88;358;1;Nullam varius. Nulla facilisi.;2024-01-01
160;88;284;1;Nulla suscipit ligula in lacus.;2024-06-12
161;96;324;2;"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.";2023-08-06
162;149;225;4;Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.;2024-03-19
163;148;177;3;Proin risus. Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.;2024-03-29
164;150;29;5;Duis at velit eu est congue elementum. In hac habitasse platea dictumst.;2023-09-09
165;189;137;3;Fusce consequat. Nulla nisl. Nunc nisl.;2024-04-01
166;148;88;2;Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.;2024-07-10
167;146;13;2;Morbi quis tortor id nulla ultrices aliquet.;2024-03-18
168;135;245;3;Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.;2023-11-23
169;81;217;5;Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus. Phasellus in felis.;2023-08-04
170;123;495;5;Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.;2024-02-22
171;90;417;1;Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.;2023-12-19
172;57;380;4;Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.;2023-10-09
173;102;398;5;Donec semper sapien a libero.;2023-12-02
174;91;271;3;Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.;2024-06-01
175;41;393;1;Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.;2023-10-26
176;166;268;3;Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.;2023-09-20
177;181;377;2;"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.";2024-02-11
178;68;297;4;Phasellus id sapien in sapien iaculis congue.;2023-08-04
179;79;416;1;Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio.;2023-10-07
180;111;287;2;Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.;2024-06-17
181;112;231;2;Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.;2023-11-09
182;175;489;2;"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.";2024-07-14
183;59;218;4;Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.;2023-08-14
184;76;79;2;Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.;2024-04-04
185;62;333;1;Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.;2024-03-15
186;73;20;1;Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.;2023-10-03
187;156;353;5;Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.;2024-01-12
188;92;25;5;Praesent blandit. Nam nulla.;2024-02-15
189;121;176;3;Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.;2024-05-11
190;47;326;4;Integer non velit.;2023-11-27
191;23;403;4;"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.";2024-05-27
192;103;359;1;"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.";2024-02-23
193;132;72;5;Duis at velit eu est congue elementum. In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.;2024-05-02
194;173;344;1;Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.;2023-10-02
195;96;13;2;Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.;2023-12-30
196;153;430;4;Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.;2024-05-30
197;5;208;4;Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.;2024-03-03
198;14;247;5;"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.";2024-01-08
199;84;331;3;Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.;2023-10-18
200;70;282;3;Maecenas pulvinar lobortis est.;2024-03-15
201;142;412;1;Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.;2023-12-03
202;48;60;3;In sagittis dui vel nisl. Duis ac nibh.;2024-03-02
203;74;87;4;Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.;2024-02-18
204;130;387;2;Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.;2023-09-21
205;41;256;5;Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.;2023-08-02
206;170;216;4;Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.;2023-11-23
207;62;251;3;Quisque ut erat. Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.;2023-10-30
208;131;330;5;Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.;2023-11-15
209;185;255;1;Nulla justo.;2024-03-23
210;131;1;5;Nam dui.;2023-08-05
211;98;287;2;Morbi porttitor lorem id ligula.;2023-12-17
212;187;59;5;Proin risus.;2023-12-21
213;3;379;5;Proin eu mi. Nulla ac enim.;2024-03-06
214;188;109;2;Ut tellus. Nulla ut erat id mauris vulputate elementum.;2023-08-18
215;24;297;4;Vivamus tortor.;2023-08-24
216;171;394;2;Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.;2024-02-08
217;101;316;1;Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.;2023-09-03
218;9;414;3;Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.;2024-04-14
219;194;341;2;Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.;2023-08-08
220;136;163;3;"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.";2024-05-29
221;27;372;5;Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.;2024-06-21
222;150;457;2;Nullam varius. Nulla facilisi.;2024-01-11
223;103;278;3;Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.;2024-02-17
224;57;435;4;Phasellus sit amet erat. Nulla tempus.;2023-12-16
225;121;402;3;Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.;2024-05-25
226;41;6;3;Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.;2024-01-08
227;125;53;4;Vivamus tortor. Duis mattis egestas metus.;2024-01-04
228;166;315;5;Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.;2023-12-15
229;159;213;2;Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.;2023-12-08
230;12;1;1;Ut at dolor quis odio consequat varius. Integer ac leo.;2024-04-20
231;83;131;3;Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.;2024-03-08
232;51;26;4;Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.;2023-11-30
233;81;7;5;Maecenas pulvinar lobortis est. Phasellus sit amet erat.;2024-06-20
234;121;454;4;"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.";2024-05-24
235;61;31;5;Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.;2024-01-03
236;53;50;1;Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.;2024-03-10
237;180;317;2;Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.;2024-04-29
238;179;187;1;Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.;2024-07-01
239;86;73;4;Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.;2023-08-15
240;48;406;3;Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.;2024-07-01
241;187;83;2;Ut tellus. Nulla ut erat id mauris vulputate elementum.;2024-02-02
242;71;334;2;Nunc rhoncus dui vel sem.;2024-06-08
243;165;258;5;Proin at turpis a pede posuere nonummy.;2023-12-20
244;12;371;1;Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.;2024-01-03
245;33;395;3;Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.;2023-12-18
246;85;497;3;Aenean fermentum. Donec ut mauris eget massa tempor convallis.;2023-10-13
247;162;131;5;Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.;2023-08-07
248;174;194;3;Duis mattis egestas metus. Aenean fermentum.;2024-04-23
249;146;180;1;Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.;2023-10-19
